29
0,2
1,4.02750541494095
2,8.11039993368935
3,16.3323398251353
4,32.8892935421941
5,66.2309039173846
6,133.37266208185
7,268.579559369871
8,540.852814852305
9,1089.14382025186
10,2193.26631685692
11,4416.69598377442
12,8894.13349539972
13,17910.585406965
14,36067.489855657
15,72631.0053484933
16,146260.883666831
17,294533.250481105
18,593117.130596406
19,1194391.22758563
20,2405208.56832955
21,4843495.26650482
22,9753601.70654454
23,19641341.8441427
24,39552805.3169956
25,79649568.7951525
26,160394534.810094
27,322994928.737294
28,650431912.243962
